TIME,LATITUDE,LONGITUDE,PRES,DEPTH,TEMP,PSAL,DOX1,DOX2,CPHL,CDOM,CNDC,VBSC,HEAD,geom
2023-12-07T00:55:10Z,-41.2645,148.3903,0.03,0.0298,18.2835,35.5619,,,0.0514,0.3615,4.6844,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:10Z,-41.2645,148.3903,0.09,0.0893,18.2831,35.5628,,,0.0514,0.3615,4.6844,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:12Z,-41.2645,148.3903,0.16,0.1588,18.2826,35.564,,,0.0514,0.3616,4.6845,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:14Z,-41.2645,148.3903,0.17,0.1687,18.2842,35.5629,,,0.0514,0.3616,4.6846,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:16Z,-41.2645,148.3903,0.11,0.1091,18.2843,35.5641,,,0.0514,0.3616,4.6847,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:18Z,-41.2645,148.3903,0.06,0.0595,18.2858,35.5647,,,0.0514,0.3617,4.6849,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:20Z,-41.2645,148.3903,0.14,0.1389,18.2871,35.5636,,,0.0514,0.3617,4.6849,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:22Z,-41.2645,148.3903,0.18,0.1786,18.2879,35.5608,,,0.0514,0.3617,4.6847,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:24Z,-41.2645,148.3903,0.13,0.129,18.284,35.5646,,,0.0513,0.3618,4.6847,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:26Z,-41.2645,148.3903,0.08,0.0794,18.2868,35.563,,,0.0513,0.3618,4.6848,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:28Z,-41.2645,148.3903,0.05,0.0496,18.2855,35.5629,,,0.0513,0.3618,4.6847,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:30Z,-41.2645,148.3903,0.13,0.129,18.287,35.5624,,,0.0513,0.3619,4.6848,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:32Z,-41.2645,148.3903,0.17,0.1687,18.2875,35.5621,,,0.0513,0.3619,4.6848,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:34Z,-41.2645,148.3903,0.09,0.0893,18.2877,35.5596,,,0.0513,0.3619,4.6845,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:36Z,-41.2645,148.3903,0.06,0.0595,18.285,35.5517,,,0.0513,0.362,4.6833,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:38Z,-41.2645,148.3903,0.1,0.0992,18.2655,35.559,,,0.0513,0.362,4.6823,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:40Z,-41.2645,148.3903,0.2,0.1984,18.2683,35.5611,,,0.0513,0.362,4.6828,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:42Z,-41.2645,148.3903,0.19,0.1885,18.2702,35.5658,,,0.0513,0.3621,4.6835,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:44Z,-41.2645,148.3903,0.05,0.0496,18.2742,35.5632,,,0.0513,0.3621,4.6836,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:46Z,-41.2645,148.3903,0.05,0.0496,18.2752,35.5616,,,0.0513,0.3621,4.6835,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:48Z,-41.2645,148.3903,0.2,0.1984,18.2735,35.5593,,,0.0513,0.3622,4.6831,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
2023-12-07T00:55:50Z,-41.2645,148.3903,0.25,0.2481,18.2652,35.5648,,,0.0512,0.3622,4.6829,0.0001,33,POINT (148.39033333333333 -41.26446166666666)
